taxon,specimen,ITS,ncpGS,psbA_trnH,psbJ_petA,rbcL,trnL_trnF,trnS_trnG,trnT_trnL
Oxalis_diamantinae,Richetti61,OQ623649,NA,NA,OR099851,NA,OR099876,NA,NA
Oxalis_divaricata,Felix13386,KC602028,NA,NA,KC602055,NA,KC602082,NA,NA
Oxalis_frutescens,JPC29,MH705071,NA,NA,MH705093,NA,MH705077,NA,NA
Oxalis_frutescens,Vaio426,KC602026,NA,NA,KC602051,NA,KC602080,NA,NA
Oxalis_hedysarifolia,Almeida1980,OQ623642,NA,NA,OR099840,NA,OR099866,NA,NA
Oxalis_hyalotricha_subsp_borealis,Richetti65,NA,NA,NA,OR099848,NA,OR099873,NA,NA
Oxalis_hyalotricha_subsp_borealis,Melo4854,OQ623648,NA,NA,OR099850,NA,OR099875,NA,NA
Oxalis_hyalotricha_subsp_hyalotricha,Cabral170,OQ623647,NA,NA,OR099849,NA,NA,NA,NA
Oxalis_pyrenea_var_macrochaeta,Cabral96,OQ623651,NA,NA,OR099858,NA,OR099881,NA,NA
Oxalis_sellowii,Cabral109,OQ623655,NA,NA,OR099860,NA,OR099883,NA,NA
Oxalis_suborbiculata,Cabral110,OQ623656,NA,NA,OR099861,NA,OR099884,NA,NA
Oxalis_suborbiculata,Cabral111,OQ310896,NA,NA,OQ296016,NA,OQ296044,NA,NA
Oxalis_suborbiculata,Cabral114,OR099885,NA,NA,NA,NA,OR099862,NA,NA
Oxalis_acetosella,Emshwiller114,JN603193,NA,NA,JN836783,NA,JN639537,NA,NA
Oxalis_articulata_subsp_articulata,Vaio242,KX249610,NA,NA,KX249681,NA,KX249638,NA,NA
Oxalis_articulata_subsp_rubra,Vaio226,KX249615,NA,NA,KX249679,NA,KX249640,NA,NA
Oxalis_atacamensis,Heibl01-54,JN634724,NA,NA,NA,NA,JN620121,NA,NA
Oxalis_bifrons,Fiaschi3633,KC602021,NA,NA,KC602047,NA,KC602074,NA,NA
Oxalis_bipartita,Vaio320,JN836778,NA,NA,JN836810,NA,NA,NA,NA
Oxalis_brasiliensis,Vaio337,JN836768,NA,NA,JN836812,NA,JN836766,NA,NA
Oxalis_caesia,Heibl02-12,JN634727,NA,NA,NA,NA,JN620124,NA,NA
Oxalis_cinerea,Heibl03-95,JN634728,NA,NA,NA,NA,JN620125,NA,NA
Oxalis_conorrhiza,Vaio206,NA,NA,NA,KC602042,NA,KC602068,NA,NA
Oxalis_corniculata,AGWS1,KC602004,NA,NA,KC602032,NA,KC602056,NA,NA
Oxalis_decaphylla,Gardner29,JN618522,NA,NA,JN836813,NA,JN639552,NA,NA
Oxalis_debilis,Vaio62,JN836774,NA,NA,JN836806,NA,JN836760,NA,NA
Oxalis_enneaphylla,HeiblMunoz_04-45,JN634732,NA,NA,NA,NA,JN620127,NA,NA
Oxalis_eriocarpa,Vaio31,KC602020,NA,NA,KC602046,NA,KC602073,NA,NA
Oxalis_geralensis,UnknownN,KX249625,NA,NA,NA,NA,KX249650,NA,NA
Oxalis_hepatica,Nuernberg1800,OQ623645,NA,NA,OR099847,NA,OR099872,NA,NA
Oxalis_holosericea,HeiblFiaschianzelt05-25,JN634734,NA,NA,NA,NA,JN620130,NA,NA
Oxalis_hypsophila,HeiblFiaschianzelt05-40,JN634735,NA,NA,NA,NA,JN620131,NA,NA
Oxalis_incana,HeiblFiaschianzelt05-45,JN634736,NA,NA,NA,NA,JN620132,NA,NA
Oxalis_linarantha,RA_Wasum_3369,JN618508,NA,NA,NA,NA,JN639541,NA,NA
Oxalis_loricata,UnknownN,JN634741,NA,NA,NA,NA,JN620137,NA,NA
Oxalis_nelsonii,Gardner66,JN618559,NA,NA,JN836841,NA,JN639580,NA,NA
Oxalis_pachyrrhiza,Weingend8479,JN634747,NA,NA,NA,NA,JN620144,NA,NA
Oxalis_palmifrons,MO824,FJ211166,NA,NA,NA,NA,KC329489,NA,NA
Oxalis_pampeana,Nuernberg1875,OQ623640,NA,NA,OR099838,NA,OR099865,NA,NA
Oxalis_paranaensis,VaioMVC2,KC602024,NA,NA,KC602049,NA,KC602076,NA,NA
Oxalis_pes-caprae,Emshwiller608,JN618510,NA,NA,JN836792,NA,EU437145,NA,NA
Oxalis_pseudocernua,UnknownN,EU436880,NA,NA,NA,NA,EU437045,NA,NA
Oxalis_ptychoclada,Emshwiller916,JN603197,NA,NA,JN836786,NA,EU437134,NA,NA
Oxalis_purpurea,MO300,FJ211171,NA,NA,NA,NA,KC329488,NA,NA
Oxalis_rosea,Lammers7916,JN603194,NA,NA,JN836784,NA,JN639538,NA,NA
Oxalis_sarmentosa,MVC13,KC602022,NA,NA,KC602048,NA,KC602075,NA,NA
Oxalis_sarmentosa,Nuernberg1849,OQ623654,NA,NA,OR099859,NA,OR099882,NA,NA
Oxalis_sellowiana,Vaio73,JN836780,NA,NA,JN836805,NA,JN836759,NA,NA
Oxalis_triangularis,Emshwiller456,JN618512,NA,NA,JN836793,NA,EU437141,NA,NA
Oxalis_tuberosa,Emshwiller50_02,JN603198,NA,NA,JN836787,NA,KC602077,NA,NA
Oxalis_acetosella,Walter7182,EU436870,NA,NA,NA,NA,NA,NA,NA
Oxalis_articulata,UnknownN,Z66545,NA,NA,NA,NA,NA,NA,NA
Oxalis_barrelieri,DUB809,EU436866,NA,NA,NA,NA,NA,NA,NA
Oxalis_corniculata,Oberlander0025,EU436867,NA,NA,NA,NA,NA,NA,NA
Oxalis_corniculata,Nie3660,JX445129,NA,NA,NA,NA,NA,NA,NA
Oxalis_corymbosa,DengZhangNie542,JX445130,NA,NA,NA,NA,NA,NA,NA
Oxalis_dolichopoda,Emshwiller292,U74267,NA,NA,NA,NA,NA,NA,NA
Oxalis_griffithii,DengZhangNie546,JX445131,NA,NA,NA,NA,NA,NA,NA
Oxalis_micrantha,Heibl03-092,JN634744,NA,NA,NA,NA,NA,NA,NA
Oxalis_obtriangulata,JNU140,DQ151555,NA,NA,NA,NA,NA,NA,NA
Oxalis_oregana,Olmstead2003-33,JN159893,NA,NA,NA,NA,NA,NA,NA
Oxalis_pachyrrhiza,Emshwiller387,U74275,NA,NA,NA,NA,NA,NA,NA
Oxalis_perdicaria,Botrand0002,EU436878,NA,NA,NA,NA,NA,NA,NA
Oxalis_pes-caprae,Dreyer662,EU436882,NA,NA,NA,NA,NA,NA,NA
Oxalis_stricta,Walter6518,EU436869,NA,NA,NA,NA,NA,NA,NA
Oxalis_triangularis_subsp_triangularis,MO1165,FJ410328,NA,NA,NA,NA,NA,NA,NA
Oxalis_valdiviensis,Botrand0001,EU436873,NA,NA,NA,NA,NA,NA,NA
Oxalis_vulcanicola,MO702,EU436872,NA,NA,NA,NA,NA,NA,NA
Oxalis_wulingensis,DengZhangNie544,JX445132,NA,NA,NA,NA,NA,NA,NA
Oxalis_unduavensis,Emshwiller168/291/351,U74260,NA,NA,NA,NA,NA,NA,NA
Oxalis_aff_spiralis,Emshwiller184,U74261,NA,NA,NA,NA,NA,NA,NA
Oxalis_bisfracta,Emshwiller366,U74262,NA,NA,NA,NA,NA,NA,NA
Oxalis_andina,Emshwiller315,U74263,NA,NA,NA,NA,NA,NA,NA
Oxalis_boliviana,Emshwiller310,U74264,NA,NA,NA,NA,NA,NA,NA
Oxalis_crassipes,Emshwiller463,U74265,NA,NA,NA,NA,NA,NA,NA
Oxalis_aff_distincta,Emshwiller289/321/447,U74266,NA,NA,NA,NA,NA,NA,NA
Oxalis_dolichopoda,Emshwiller292,U74267,NA,NA,NA,NA,NA,NA,NA
Oxalis_herrerae,Emshwiller459,U74269,NA,NA,NA,NA,NA,NA,NA
Oxalis_longissima,Emshwiller64/247,U74270,NA,NA,NA,NA,NA,NA,NA
Oxalis_melilotoides,Emshwiller190,U74271,NA,NA,NA,NA,NA,NA,NA
Oxalis_mollissima,Emshwiller359/x415,U74272,NA,NA,NA,NA,NA,NA,NA
Oxalis_ortgiesii,Emshwiller458,U74273,NA,NA,NA,NA,NA,NA,NA
Oxalis_oulophora,Emshwiller308,U74274,NA,NA,NA,NA,NA,NA,NA
Oxalis_pachyrrhiza,Emshwiller387,U74275,NA,NA,NA,NA,NA,NA,NA
Oxalis_peduncularis,Emshwiller418,U74276,NA,NA,NA,NA,NA,NA,NA
Oxalis_peduncularis,Emshwiller466,U74277,NA,NA,NA,NA,NA,NA,NA
Oxalis_pes-caprae,Emshwiller125,U74278,NA,NA,NA,NA,NA,NA,NA
Oxalis_regnellii,Emshwiller456,U74279,NA,NA,NA,NA,NA,NA,NA
Oxalis_sp,Emshwiller295,U74280,NA,NA,NA,NA,NA,NA,NA
Oxalis_sp,Emshwiller219,U74281,NA,NA,NA,NA,NA,NA,NA
Oxalis_spiralis,Emshwiller187,U74282,NA,NA,NA,NA,NA,NA,NA
Oxalis_spiralis,Emshwiller249/250,U74283,NA,NA,NA,NA,NA,NA,NA
Oxalis_tuberosa,Emshwiller133/136/140,U74284,NA,NA,NA,NA,NA,NA,NA
Oxalis_vulcanicola,Emshwiller124,U74285,NA,NA,NA,NA,NA,NA,NA
Oxalis_yungasensis,Emshwiller437/350,U74286,NA,NA,NA,NA,NA,NA,NA
Oxalis_aff_tuberosa,Emshwiller260,U74287,NA,NA,NA,NA,NA,NA,NA
Oxalis_aff_tuberosa,Emshwiller284,U74288,NA,NA,NA,NA,NA,NA,NA
Oxalis_latifolia,Emshwiller235,U74289,NA,NA,NA,NA,NA,NA,NA
Oxalis_martiana,Emshwiller445,U74290,NA,NA,NA,NA,NA,NA,NA
Oxalis_spiralis,Emshwiller187,NA,AF098977,NA,NA,NA,NA,NA,NA
Oxalis_oulophora,Emshwiller308,NA,AF098978,NA,NA,NA,NA,NA,NA
Oxalis_longissima,Emshwiller64,NA,AF098979,NA,NA,NA,NA,NA,NA
Oxalis_mollissima,Emshwiller359,NA,AF098980,NA,NA,NA,NA,NA,NA
Oxalis_peduncularis,Emshwiller466,NA,AF098981,NA,NA,NA,NA,NA,NA
Oxalis_flagellata,Emshwiller246,NA,AF098982,NA,NA,NA,NA,NA,NA
Oxalis_andina,Emshwiller315,NA,AF098983,NA,NA,NA,NA,NA,NA
Oxalis_ortgiesii,Emshwiller458,NA,AF098984,NA,NA,NA,NA,NA,NA
Oxalis_laxa_var_hispidissima,Emshwiller744,NA,AF470234,NA,NA,NA,NA,NA,NA
Oxalis_pachyrrhiza,Emshwiller387,NA,AF470235,NA,NA,NA,NA,NA,NA
Oxalis_megalorrhiza,Emshwiller773,NA,AF470236,NA,NA,NA,NA,NA,NA
Oxalis_spiralis,Emshwiller249,NA,AF470237,NA,NA,NA,NA,NA,NA
Oxalis_spiralis,Emshwiller184,NA,AF470238,NA,NA,NA,NA,NA,NA
Oxalis_spiralis,Emshwiller244,NA,AF470239,NA,NA,NA,NA,NA,NA
Oxalis_medicaginea,Emshwiller809,NA,AF470240,NA,NA,NA,NA,NA,NA
Oxalis_lotoides,Emshwiller789,NA,AF470241,NA,NA,NA,NA,NA,NA
Oxalis_subintegra,Emshwiller799,NA,AF470242,NA,NA,NA,NA,NA,NA
Oxalis_unduavensis,Emshwiller351,NA,AF470243,NA,NA,NA,NA,NA,NA
Oxalis_unduavensis,Emshwiller291,NA,AF470244,NA,NA,NA,NA,NA,NA
Oxalis_cf_melilotoides,Emshwiller190,NA,AF470245,NA,NA,NA,NA,NA,NA
Oxalis_sp_n_C,Emshwiller592,NA,AF470246,NA,NA,NA,NA,NA,NA
Oxalis_humbertii,Emshwiller604,NA,AF470247,NA,NA,NA,NA,NA,NA
Oxalis_lucumayensis_subsp_lucumayensis,Emshwiller485,NA,AF470248,NA,NA,NA,NA,NA,NA
Oxalis_lucumayensis_subsp_lucumayensis,Emshwiller871,NA,AF470249,NA,NA,NA,NA,NA,NA
Oxalis_lucumayensis_subsp_subiens,Emshwiller289,NA,AF470250,NA,NA,NA,NA,NA,NA
Oxalis_sp_aff_ptychoclada,Emshwiller916,NA,AF470251,NA,NA,NA,NA,NA,NA
Oxalis_sp_n_A,Emshwiller504,NA,AF470252,NA,NA,NA,NA,NA,NA
Oxalis_paucartambensis,Emshwiller548,NA,AF470253,NA,NA,NA,NA,NA,NA
Oxalis_cuzcensis,Emshwiller532,NA,AF470254,NA,NA,NA,NA,NA,NA
Oxalis_herrerae,Emshwiller913,NA,AF470255,NA,NA,NA,NA,NA,NA
Oxalis_herrerae,Emshwiller560,NA,AF470256,NA,NA,NA,NA,NA,NA
Oxalis_picchensis,Emshwiller500,NA,AF470257,NA,NA,NA,NA,NA,NA
Oxalis_herrerae,Emshwiller459/HERR1,NA,AF470258,NA,NA,NA,NA,NA,NA
Oxalis_weberbaueri,Emshwiller746,NA,AF470259,NA,NA,NA,NA,NA,NA
Oxalis_oblongiformis,Emshwiller797,NA,AF470260,NA,NA,NA,NA,NA,NA
Oxalis_sp_n_V,Emshwiller807,NA,AF470261,NA,NA,NA,NA,NA,NA
Oxalis_ptychoclada_var_trichocarpa,Emshwiller600,NA,AF470262,NA,NA,NA,NA,NA,NA
Oxalis_cf_peduncularis,Emshwiller850,NA,AF470263,NA,NA,NA,NA,NA,NA
Oxalis_tabaconasensis,Emshwiller786,NA,AF470264,NA,NA,NA,NA,NA,NA
Oxalis_peduncularis_var_pilosa,Emshwiller791,NA,AF470265,NA,NA,NA,NA,NA,NA
Oxalis_petrophila,Emshwiller933,NA,AF470266,NA,NA,NA,NA,NA,NA
Oxalis_nubigena,Emshwiller345,NA,AF470267,NA,NA,NA,NA,NA,NA
Oxalis_flagellata,Emshwiller331,NA,AF470268,NA,NA,NA,NA,NA,NA
Oxalis_tuberosa,MoralesHermannGarcia884,NA,AF470269,NA,NA,NA,NA,NA,NA
Oxalis_tuberosa,35-04,NA,AF470270,NA,NA,NA,NA,NA,NA
Oxalis_tuberosa,MoralesHermannGarcia913,NA,AF470271,NA,NA,NA,NA,NA,NA
Oxalis_tuberosa,MoralesHermannGarcia884,NA,AF470272,NA,NA,NA,NA,NA,NA
Oxalis_tuberosa,MoralesHermannGarcia884,NA,AF470273,NA,NA,NA,NA,NA,NA
Oxalis_cf_tuberosa,Emshwiller259,NA,AF470274,NA,NA,NA,NA,NA,NA
Oxalis_cf_tuberosa,Emshwiller259,NA,AF470275,NA,NA,NA,NA,NA,NA
Oxalis_tuberosa,MoralesHermannGarcia913,NA,AF470276,NA,NA,NA,NA,NA,NA
Oxalis_tuberosa,MoralesHermannGarcia884,NA,AF470277,NA,NA,NA,NA,NA,NA
Oxalis_tuberosa,MoralesHermannGarcia884,NA,AF470278,NA,NA,NA,NA,NA,NA
Oxalis_tuberosa,MoralesHermannGarcia884,NA,AF470279,NA,NA,NA,NA,NA,NA
Oxalis_tuberosa,MoralesHermannGarcia884,NA,AF470280,NA,NA,NA,NA,NA,NA
Oxalis_tuberosa,MoralesHermannGarcia884,NA,AF470281,NA,NA,NA,NA,NA,NA
Oxalis_tuberosa,35-04,NA,AF470282,NA,NA,NA,NA,NA,NA
Oxalis_tuberosa,35-04,NA,AF470283,NA,NA,NA,NA,NA,NA
Oxalis_tuberosa,35-04,NA,AF470284,NA,NA,NA,NA,NA,NA
Oxalis_tuberosa,35-04,NA,AF470285,NA,NA,NA,NA,NA,NA
Oxalis_tuberosa,MoralesHermannGarcia884,NA,AF470286,NA,NA,NA,NA,NA,NA
Oxalis_tuberosa,35-04,NA,AF470287,NA,NA,NA,NA,NA,NA
Oxalis_tuberosa,MoralesHermannGarcia913,NA,AF470288,NA,NA,NA,NA,NA,NA
Oxalis_tuberosa,MoralesHermannGarcia913,NA,AF470289,NA,NA,NA,NA,NA,NA
Oxalis_tuberosa,MoralesHermannGarcia913,NA,AF470290,NA,NA,NA,NA,NA,NA
Oxalis_tuberosa,35-04,NA,AF470291,NA,NA,NA,NA,NA,NA
Oxalis_tuberosa,35-04,NA,AF470292,NA,NA,NA,NA,NA,NA
Oxalis_tuberosa,MoralesHermannGarcia913,NA,AF470293,NA,NA,NA,NA,NA,NA
Oxalis_tuberosa,MoralesHermannGarcia913,NA,AF470294,NA,NA,NA,NA,NA,NA
Oxalis_tuberosa,35-04,NA,AF470295,NA,NA,NA,NA,NA,NA
Oxalis_tuberosa,MoralesHermannGarcia884,NA,AF470296,NA,NA,NA,NA,NA,NA
Oxalis_tuberosa,35-04,NA,AF470297,NA,NA,NA,NA,NA,NA
Oxalis_tuberosa,MoralesHermannGarcia913,NA,AF470298,NA,NA,NA,NA,NA,NA
Oxalis_tuberosa,35-04,NA,AF470299,NA,NA,NA,NA,NA,NA
Oxalis_tuberosa,MoralesHermannGarcia913,NA,AF470300,NA,NA,NA,NA,NA,NA
Oxalis_tuberosa,MoralesHermannGarcia884,NA,AF470301,NA,NA,NA,NA,NA,NA
Oxalis_tuberosa,35-04,NA,AF470302,NA,NA,NA,NA,NA,NA
Oxalis_tuberosa,35-04,NA,AF470303,NA,NA,NA,NA,NA,NA
Oxalis_tuberosa,35-04,NA,AF470304,NA,NA,NA,NA,NA,NA
Oxalis_tuberosa,35-04,NA,AF470305,NA,NA,NA,NA,NA,NA
Oxalis_tuberosa,MoralesHermannGarcia913,NA,AF470306,NA,NA,NA,NA,NA,NA
Oxalis_tuberosa,MoralesHermannGarcia884,NA,AF470307,NA,NA,NA,NA,NA,NA
Oxalis_cf_tuberosa,Emshwiller259,NA,AF470308,NA,NA,NA,NA,NA,NA
Oxalis_cf_tuberosa,Emshwiller259,NA,AF470309,NA,NA,NA,NA,NA,NA
Oxalis_cf_tuberosa,Emshwiller259,NA,AF470310,NA,NA,NA,NA,NA,NA
Oxalis_cf_tuberosa,Emshwiller259,NA,AF470311,NA,NA,NA,NA,NA,NA
Oxalis_cf_tuberosa,Emshwiller259,NA,AF470312,NA,NA,NA,NA,NA,NA
Oxalis_cf_tuberosa,Emshwiller259,NA,AF470313,NA,NA,NA,NA,NA,NA
Oxalis_staffordiana,Emshwiller512,NA,AF470314,NA,NA,NA,NA,NA,NA
Oxalis_teneriensis,Emshwiller511,NA,AF470315,NA,NA,NA,NA,NA,NA
Oxalis_polyrhiza,Emshwiller960,NA,AF470316,NA,NA,NA,NA,NA,NA
Oxalis_picchensis,Emshwiller531,NA,AF470317,NA,NA,NA,NA,NA,NA
Oxalis_adpressipila,Kuhlmann6587h,OQ310891,NA,NA,NA,NA,OQ296038,NA,NA
Oxalis_alvimii,Fiaschi4597,OQ310870,NA,NA,OQ295991,NA,OQ296017,NA,NA
Oxalis_bela-vitoriae,Fiaschi4606,OQ310871,NA,NA,OQ295992,NA,OQ296018,NA,NA
Oxalis_bifrons,Fiaschi3633,KC602021,NA,NA,KC602047,NA,KC602074,NA,NA
Oxalis_brasiliensis,Vaio337,JN836768,NA,NA,JN836812,NA,JN836766,NA,NA
Oxalis_capixaba,Costa117,OQ310893,NA,NA,OQ296013,NA,OQ296041,NA,NA
Oxalis_colatinensis,Fiaschi4631,OQ310873,NA,NA,OQ295994,NA,OQ296020,NA,NA
Oxalis_cornicarpa,Fiaschi5428,OQ310886,NA,NA,OQ296007,NA,OQ296034,NA,NA
Oxalis_cornicarpa,Fiaschi5442,OQ310887,NA,NA,OQ296008,NA,OQ296035,NA,NA
Oxalis_cytisoides,Cabral139,OQ310874,NA,NA,OQ295995,NA,OQ296021,NA,NA
Oxalis_densifolia,Cabral93,OQ310875,NA,NA,OQ295996,NA,OQ296022,NA,NA
Oxalis_erosa,Cabral138,OQ310876,NA,NA,OQ295997,NA,OQ296023,NA,NA
Oxalis_fruticosa,Fiaschi4658,OQ310877,NA,NA,OQ295998,NA,OQ296024,NA,NA
Oxalis_grisea,Melo6953,OQ310888,NA,NA,OQ296009,NA,OQ296036,NA,NA
Oxalis_impatiens,Bilk382a,OQ310878,NA,NA,OQ295999,NA,OQ296025,NA,NA
Oxalis_impatiens,Bilk382b,OQ310879,NA,NA,OQ296000,NA,OQ296026,NA,NA
Oxalis_inopinata,Fiaschi5544,OR964281,NA,NA,OR966574,NA,OR966575,NA,NA
Oxalis_itamarajuensis,Fiaschi4657,OQ310895,NA,NA,OQ296015,NA,OQ296043,NA,NA
Oxalis_kollmannii,Fiaschi4663,OQ310872,NA,NA,OQ295993,NA,OQ296019,NA,NA
Oxalis_kuhlmannii,Fiaschi4662,OQ310880,NA,NA,OQ296001,NA,OQ296027,NA,NA
Oxalis_leonii,Costa122,OQ310892,NA,NA,OQ296012,NA,OQ296040,NA,NA
Oxalis_mandioccana,Demuner2096h,OQ310881,NA,NA,NA,NA,OQ296028,NA,NA
Oxalis_mandioccana,Fiaschi4660,OQ310882,NA,NA,OQ296002,NA,OQ296029,NA,NA
Oxalis_mandioccana,Kollmann10803h,NA,NA,NA,OQ296003,NA,OQ296030,NA,NA
Oxalis_mandioccana,Kollmann12975h,OQ310883,NA,NA,OQ296004,NA,OQ296031,NA,NA
Oxalis_mandioccana,Costa114,OQ310884,NA,NA,OQ296005,NA,OQ296032,NA,NA
Oxalis_mandioccana,Richetti29,OQ310885,NA,NA,OQ296006,NA,OQ296033,NA,NA
Oxalis_occulta,Fiaschi5058,OQ310894,NA,NA,OQ296014,NA,OQ296042,NA,NA
Oxalis_sciophila,Costa118,OQ310890,NA,NA,OQ296011,NA,OQ296039,NA,NA
Oxalis_suborbiculata,Cabral111,OQ310896,NA,NA,OQ296016,NA,OQ296044,NA,NA
Oxalis_alvimii,Fiaschi4597,OQ310870,NA,NA,OQ295991,NA,OQ296017,NA,NA
Oxalis_amorimii,Fiaschi5457,PQ536092,NA,NA,PQ585589,NA,PQ585606,NA,NA
Oxalis_animarum,Fiaschi4591,NA,NA,NA,OR099855,NA,OR099879,NA,NA
Oxalis_barrelieri,Vaio517,KC602027,NA,NA,KC602052,NA,KC602081,NA,NA
Oxalis_blackii,Costa115,MH705068,NA,NA,MH705089,NA,MH705073,NA,NA
Oxalis_caesariata,Fiaschi5273,PP175926,NA,NA,PP179507,NA,PP179511,NA,NA
Oxalis_alstonii_subsp_lutzii,Melo_4829,PQ536091,NA,NA,PQ585585,NA,PQ585602,NA,NA
Oxalis_cf_polymorpha,Fiaschi4617,PQ536093,NA,NA,PQ585595,NA,NA,NA,NA
Oxalis_cf_polymorpha,Fiaschi4618,PQ536094,NA,NA,PQ585594,NA,PQ585611,NA,NA
Oxalis_cf_polymorpha,Fiaschi5415,PQ536095,NA,NA,PQ585593,NA,PQ585610,NA,NA
Oxalis_cipoensis,Costa110,PQ536096,NA,NA,PQ585587,NA,PQ585604,NA,NA
Oxalis_colatinensis,Fiaschi4625,MH705069,NA,NA,MH705090,NA,MH705074,NA,NA
Oxalis_cornicarpa,Fiaschi5428,OQ310886,NA,NA,OQ296007,NA,OQ296034,NA,NA
Oxalis_decipiens,Richetti64,PQ536097,NA,NA,PQ585588,NA,PQ585605,NA,NA
Oxalis_divaricata,Felix13386,KC602028,NA,NA,KC602055,NA,KC602082,NA,NA
Oxalis_frutescens,Vaio426,KC602026,NA,NA,KC602051,NA,KC602080,NA,NA
Oxalis_glaucescens,Felix13539,KC602029,NA,NA,KC602053,NA,KC602083,NA,NA
Oxalis_hyalotricha_subsp_borealis,Melo4854,OQ623648,NA,NA,OR099850,NA,OR099875,NA,NA
Oxalis_idimae,Richetti70,OQ623652,NA,NA,OR099854,NA,OR099878,NA,NA
Oxalis_inopinata,Fiaschi5544,OR964281,NA,NA,OR966574,NA,OR966575,NA,NA
Oxalis_itatingae,Fiaschi4472,PQ536098,NA,NA,PQ585599,NA,PQ585615,NA,NA
Oxalis_jacobinensis,Cabral226,PQ536099,NA,NA,PQ585590,NA,PQ585607,NA,NA
Oxalis_kollmannii,Fiaschi4663,OQ310872,NA,NA,OQ295993,NA,OQ296019,NA,NA
Oxalis_kollmannii,Vasques53,PQ536100,NA,NA,PQ585591,NA,PQ585608,NA,NA
Oxalis_monochasiata,Fiaschi4585,PQ536101,NA,NA,PQ585592,NA,PQ585609,NA,NA
Oxalis_neuwiedii,Almeida1336,MH705072,NA,NA,MH705094,NA,MH705078,NA,NA
Oxalis_pardoensis,Caxambu5990,OL998717,NA,NA,NA,NA,NA,NA,NA
Oxalis_physocalyx,Melo6953,OQ310888,NA,NA,OQ296009,NA,OQ296036,NA,NA
Oxalis_psoraleoides_subsp_insipida,Vaio431,KC602030,NA,NA,KC602054,NA,NA,NA,NA
Oxalis_puberula,Rhoden7,PQ536102,NA,NA,PQ585596,NA,PQ585612,NA,NA
Oxalis_rhombeo-ovata,Melo4750,PQ536103,NA,NA,PQ585597,NA,PQ585613,NA,NA
Oxalis_roselata,Rhoden16,PQ536104,NA,NA,PQ585586,NA,PQ585603,NA,NA
Oxalis_sarmentosa,Vaio13,KC602048,NA,NA,KC602048,NA,KC602075,NA,NA
Oxalis_aff_umbraticola,Rhoden19,NA,NA,NA,PQ585598,NA,PQ585614,NA,NA
Oxalis_suborbiculata,Cabral110,OQ623656,NA,NA,OR099861,NA,OR099884,NA,NA
Oxalis_umbraticola,Nery91,NA,NA,NA,PQ585601,NA,PQ585617,NA,NA
Oxalis_umbraticola,Richetti69,PQ536105,NA,NA,PQ585600,NA,PQ585616,NA,NA
Oxalis_corniculata,Emshwiller793,JN603192,NA,NA,JN836781,NA,EU437126,NA,JN836851
Oxalis_oregana,Olmstead2003-33,JN159893,NA,NA,JN836782,NA,JN639536,NA,JN836852
Oxalis_acetosella,Emshwiller114,JN603193,NA,NA,JN836783,NA,JN639537,NA,JN836853
Oxalis_rosea,Lammers7916,JN603194,NA,NA,JN836784,NA,JN639538,NA,JN836854
Oxalis_laxa_subsp_hispidissima,Emshwiller1111,JN603195,NA,NA,NA,NA,JN639539,NA,JN836855
Oxalis_megalorrhiza,Emshwiller773,JN603196,NA,NA,NA,NA,EU437139,NA,JN836856
Oxalis_ptychoclada,Emshwiller916,JN603197,NA,NA,JN836786,NA,EU437134,NA,JN836857
Oxalis_tuberosa,Emshwiller50_02,JN603198,NA,NA,JN836787,NA,JN639540,NA,NA
Oxalis_articulata_forma_crassipes,Emshwiller463,JN618506,NA,NA,JN836788,NA,EU437146,NA,JN836859
Oxalis_articulata_subsp_rubra,Emshwiller146,JN618507,NA,NA,JN836789,NA,EU437147,NA,JN836860
Oxalis_floribunda,Vaio358,JN836767,NA,NA,JN836790,NA,JN836758,NA,JN836861
Oxalis_linarantha,Wasum3369,JN618508,NA,NA,NA,NA,JN639541,NA,JN836862
Oxalis_incarnata,Emshwiller149,JN618509,NA,NA,JN836791,NA,JN639542,NA,JN836863
Oxalis_pes-caprae,Emshwiller608,JN618510,NA,NA,JN836792,NA,EU437145,NA,NA
Oxalis_adenophylla,GardnerADEPH1,JN618511,NA,NA,JN836802,NA,JN639550,NA,JN836872
Oxalis_triangularis_subsp_papilionacea,Emshwiller456,JN618512,NA,NA,JN836793,NA,EU437141,NA,JN836864
Oxalis_alpina,Gardner45,JN618513,NA,NA,JN836794,NA,JN639543,NA,JN836865
Oxalis_alpina,Weller956,JN618515,NA,NA,JN836796,NA,JN639545,NA,JN836867
Oxalis_alpina,Weller976,JN618514,NA,NA,JN836795,NA,JN639544,NA,JN836866
Oxalis_cf_alpina,Weller979,JN618565,NA,NA,JN836846,NA,JN639584,NA,JN836913
Oxalis_argentina,Emshwiller235,JN618516,NA,NA,JN836797,NA,EU437143,NA,NA
Oxalis_bipartita_subsp_bipartita,Vaio59,JN836777,NA,NA,NA,NA,JN836764,NA,NA
Oxalis_bipartita_subsp_bipartita,Vaio320,JN836778,NA,NA,JN836810,NA,NA,NA,JN836880
Oxalis_brasiliensis,EmshwillerBRAS2,JN618520,NA,NA,JN836798,NA,JN639546,NA,JN836868
Oxalis_brasiliensis,Vaio337,JN836768,NA,NA,JN836812,NA,JN836766,NA,MV337
Oxalis_brasiliensis,Vaio55,JN836769,NA,NA,NA,NA,NA,NA,NA
Oxalis_brasiliensis,Vaio70,JN836770,NA,NA,NA,NA,NA,NA,NA
