taxon,specimen,ITS,ncpGS,psbA_trnH,psbJ_petA,rbcL,trnL_trnF,trnS_trnG,trnT_trnL
Oxalis_disticha,Oberlander0159,EU436942,NA,NA,NA,NA,EU437084,EU437229,NA
Oxalis_divaricata,Felix13386,KC602028,NA,NA,KC602055,NA,KC602082,NA,KC602111
Oxalis_divergens,Gardner58,JN618527,NA,NA,JN836822,NA,JN639561,NA,JN836891
Oxalis_dolichopoda,Emshwiller292,U74267,NA,NA,NA,NA,NA,NA,NA
Oxalis_dombey,Cornejo10089,1,NA,NA,1,NA,1,NA,NA
Oxalis_dregei,Mucina210903/11,EU436930,NA,NA,NA,NA,AJ582313,EU437217,NA
Oxalis_droseroides,Oberlander0079,EU436994,NA,NA,NA,NA,EU437111,EU437280,NA
Oxalis_drummondii,Weller965,JN618528,NA,NA,JN836823,NA,JN639562,NA,JN836892
Oxalis_dumetorum,Mihoc7330,JN634731,NA,JN602088,NA,NA,NA,JN627222,NA
Oxalis_duriuscula,Oberlander0082,EU437020,NA,NA,NA,NA,EU437123,EU437306,NA
Oxalis_ebracteata,Dreyer644,EU436990,NA,NA,NA,NA,AJ582314,EU437276,NA
Oxalis_eckloniana,Dreyer628,EU437025,NA,NA,NA,NA,AJ582315,EU437311,NA
Oxalis_engleriana,Oberlander0010,EU436961,NA,NA,NA,NA,AJ582316,EU437247,NA
Oxalis_enneaphylla,HeiblMunozToro04-045,JN634732,NA,JN602089,NA,NA,JN620127,JN627223,JN620092
Oxalis_eriocarpa,Vaio31,KC602020,NA,NA,KC602046,NA,KC602073,NA,KC602100
Oxalis_eriolepis,Emshwiller155,JN618530,NA,NA,JN836824,NA,JN639563,NA,JN836893
Oxalis_erosa,Cabral138,OQ310876,NA,NA,OQ295997,NA,OQ296023,NA,NA
Oxalis_erythrorhiza,Zuloaga12781,MH220857,NA,NA,NA,NA,NA,NA,NA
Oxalis_exserta,Dreyer686,EU436967,NA,NA,NA,NA,AJ582317,EU437253,NA
Oxalis_falcatula,Oberlander0096,EU436992,NA,NA,NA,NA,EU437109,EU437278,NA
Oxalis_famatinae,Zuloaga11970,1,NA,NA,NA,NA,1,NA,NA
Oxalis_fergusoniae,Oberlander0111,EU436912,NA,NA,NA,NA,EU437066,EU437200,NA
Oxalis_fibrosa,Oberlander0051,EU436958,NA,NA,NA,NA,EU437095,EU437244,NA
Oxalis_flagellata,Emshwiller246,NA,AF098982,NA,NA,NA,NA,NA,NA
Oxalis_flava,Dreyer614,EU436924,NA,NA,NA,NA,AJ582318,EU437211,EU437372
Oxalis_flaviuscula,Dreyer701,EU436929,NA,NA,NA,NA,AJ582319,EU437216,NA
Oxalis_floribunda_subsp_floribunda,Vaio358,JN836767,NA,NA,JN836790,NA,JN836758,NA,JN836861
Oxalis_floribunda_subsp_ostenii,Vaio388,KX249623,NA,NA,KX249665,NA,KX249647,NA,KX249648
Oxalis_fontana,Whang30761,EU274622,NA,NA,NA,NA,NA,NA,NA
Oxalis_fourcadei,BeanVlok2046,EU436923,NA,NA,NA,NA,EU437074,NA,NA
Oxalis_frutescens,Vaio426,KC602026,NA,NA,KC602051,NA,KC602080,NA,KC602106
Oxalis_fruticosa,Fiaschi4658,OQ310877,NA,NA,OQ295998,NA,OQ296024,NA,NA
Oxalis_furcillata,Oberlander0022,EU436952,NA,NA,NA,NA,AJ582320,EU437238,NA
Oxalis_galeottii,Gardner60,JN618531,NA,NA,JN836827,NA,JN639566,NA,JN836895
Oxalis_gardneriana,Scatigna1336,1,NA,NA,1,NA,1,NA,NA
Oxalis_geralensis,UnknownN,KX249625,NA,NA,NA,NA,KX249650,NA,KX249649
Oxalis_giftbergensis,Dreyer796,EU436988,NA,NA,NA,NA,AJ582321,EU437274,NA
Oxalis_gigantea,HeiblMunozToro04-010,JN634733,NA,NA,NA,NA,NA,JN627224,JN620093
Oxalis_glabra,Mucina170601/2,EU437000,NA,NA,NA,NA,AJ582322,EU437286,NA
Oxalis_glaucescens,Felix13539,KC602029,NA,NA,KC602053,NA,KC602083,NA,KC602108
Oxalis_goniorrhiza,Oberlander0157,EU437002,NA,NA,NA,NA,EU437114,EU437288,NA
Oxalis_goyazensis,Cabral100,OQ623643,NA,NA,OR099845,NA,OR099871,NA,NA
Oxalis_gracilifolia,Cabral193,1,NA,NA,1,NA,1,NA,NA
Oxalis_gracilipes,Dreyer645,EU436991,NA,NA,NA,NA,EU437108,EU437277,NA
Oxalis_gracilis,Oberlander123,EU436976,NA,NA,NA,NA,EU437104,EU437262,NA
Oxalis_grammopetala,Oberlander0156,EU436906,NA,NA,NA,NA,EU437062,EU437194,NA
Oxalis_grammophylla,Dreyer670,EU437016,NA,NA,NA,NA,AJ582323,EU437302,NA
Oxalis_gregaria,Roe1597,JN618532,NA,NA,JN836826,NA,JN639565,NA,NA
Oxalis_griffithii_subsp_formosana,Aoki181,LC206020,NA,NA,LC206128,NA,LC206342,NA,LC206235
Oxalis_griffithii_subsp_griffithii,Aoki35,LC206055,NA,NA,LC206163,NA,LC206377,NA,LC206270
Oxalis_griffithii_subsp_taimonii,Wang4456,LC206081,NA,NA,LC215384,NA,NA,NA,NA
Oxalis_griffithii_subsp_wulingensis,Deng544,JX445132,NA,NA,NA,NA,NA,NA,NA
Oxalis_grisea,Vaio512,KC602025,NA,NA,KC602050,NA,KC602079,NA,KC602105
Oxalis_gyrorhiza,Heibl02-035,NA,NA,JN602093,NA,NA,JN620129,JN627225,NA
Oxalis_haedulipes,Mucina180903/9,EU436886,NA,NA,NA,NA,EU437048,EU437175,NA
Oxalis_hedysarifolia,Almeida1980,OQ623642,NA,NA,OR099840,NA,OR099866,NA,NA
Oxalis_hedysaroides,Cornejo10079,1,NA,NA,1,NA,1,NA,NA
Oxalis_helicoides,MO936,KF114273,NA,NA,NA,NA,NA,JX487161,NA
Oxalis_hepatica,Nuernberg1800,OQ623645,NA,NA,OR099847,NA,OR099872,NA,NA
Oxalis_hernandesii,Gardner56,JN618534,NA,NA,JN836825,NA,JN639564,NA,JN836894
Oxalis_herrerae,Emshwiller459,U74269,NA,NA,NA,NA,NA,NA,NA
Oxalis_heterophylla,BayerOberlander0008,EU437018,NA,NA,NA,NA,EU437121,EU437304,NA
Oxalis_hirsutissima,Cordeiro987,OQ623646,NA,NA,NA,NA,OR099874,NA,NA
Oxalis_hirta,Dreyer646,EU436971,NA,NA,NA,NA,AJ582324,EU437257,NA
Oxalis_hispidula,Vaio44,JN836776,NA,NA,JN836811,NA,JN836765,NA,NA
Oxalis_holosericea,HeiblPfanzelt05-025,JN634734,NA,JN607481,NA,JN587327,JN620130,JN627226,JN620094
Oxalis_humbertii,Emshwiller604,NA,AF470247,NA,NA,NA,NA,NA,NA
Oxalis_hyalotricha_subsp_borealis,Melo4854,OQ623648,NA,NA,OR099850,NA,OR099875,NA,NA
Oxalis_hyalotricha_subsp_hyalotricha,Cabral170,OQ623647,NA,NA,OR099849,NA,NA,NA,NA
Oxalis_hygrophila,KumwendaDreyer0001,EU437024,NA,NA,NA,NA,AJ582333,EU437310,NA
Oxalis_hypsophila,HeibPfanzelt05-040,JN634735,NA,NA,NA,JN587328,JN620131,NA,NA
Oxalis_imbricata,Oberlander0062,EU436896,NA,NA,NA,NA,EU437056,EU437184,NA
Oxalis_impatiens,Bilk382a,OQ310878,NA,NA,OQ295999,NA,OQ296025,NA,NA
Oxalis_incana,HeiblPfanzelt05-045,JN634736,NA,JN607483,NA,JN587329,JN620132,JN627227,JN620095
Oxalis_incarnata,Emshwiller149,JN618509,NA,NA,JN836791,NA,JN639542,NA,JN836863
Oxalis_inconspicua,Dreyer707,EU436944,NA,NA,NA,NA,EU437086,EU437230,NA
Oxalis_inopinata,Fiaschi5544,OR964281,NA,NA,OR966574,NA,OR966575,NA,NA
Oxalis_itamarajuensis,Fiaschi4657,OQ310895,NA,NA,OQ296015,NA,OQ296043,NA,NA
Oxalis_itatingae,Fiaschi4472,PQ536098,NA,NA,PQ585599,NA,PQ585615,NA,NA
Oxalis_jacobinensis,Cabral226,PQ536099,NA,NA,PQ585590,NA,PQ585607,NA,NA
Oxalis_jacquiniana,Gardner43,JN618535,NA,NA,JN836830,NA,JN639569,NA,JN836898
Oxalis_jasminifolia,Cornejo9331,1,NA,NA,1,NA,1,NA,NA
Oxalis_johnstonii,Heibl01-080,NA,NA,JN607484,NA,NA,JN620133,NA,JN620096
Oxalis_kamiesbergensis,MO592cfkamiebergensis,EU436970,NA,NA,NA,NA,EU437102,EU437256,NA
Oxalis_lutzii,Melo4829,PQ536091,NA,NA,PQ585585,NA,PQ585602,NA,NA
Oxalis_nippponica_subsp_kantoensis,Aoki25,LC206033,NA,NA,LC206141,NA,LC206355,NA,LC206248
Oxalis_knuthiana,Dreyer721,EU436884,NA,NA,NA,NA,AJ582325,EU437173,NA
Oxalis_kollmannii,Vasques53,PQ536100,NA,NA,PQ585591,NA,PQ585608,NA,NA
Oxalis_kuhlmannii,Fiaschi4662,OQ310880,NA,NA,OQ296001,NA,OQ296027,NA,NA
Oxalis_laciniata,HeiblMunozToro04-047,JN634737,NA,NA,NA,NA,JN620134,JN627228,JN620097
Oxalis_lanata,Dreyer751,EU437027,NA,NA,NA,NA,EU437125,NA,NA
Oxalis_lasiandra,Gardner69,JN618537,NA,NA,JN836831,NA,JN639570,NA,JN836899
Oxalis_lasiopetala,Vaio87,KX249626,NA,NA,KX249666,NA,KX249651,NA,KX249652
Oxalis_lateriflora,Dreyer651,EU436890,NA,NA,NA,NA,EU437051,NA,NA
Oxalis_latifolia,Gardner38,JN618539,NA,NA,JN836834,NA,JN639573,NA,JN836902
Oxalis_laxa_var_hispidissima,Zuloaga12555,1,NA,NA,NA,NA,1,NA,NA
Oxalis_laxa_var_laxa,Heibl03-091,JN634738,NA,JN607486,NA,JN587332,JN620135,JN627229,JN620098
Oxalis_leonii,Costa122,OQ310892,NA,NA,OQ296012,NA,OQ296040,NA,NA
Oxalis_leptocalyx,Oberlander0076,EU437001,NA,NA,NA,NA,EU437113,EU437287,NA
Oxalis_leptogramma,Dreyer617,EU437014,NA,NA,NA,NA,AJ582327,EU437300,NA
Oxalis_leucolepis,Aoki420,LC206073,NA,NA,LC206181,NA,LC206395,NA,LC206288
Oxalis_lichenoides,Dreyer785,EU436919,NA,NA,NA,NA,AJ582328,EU437207,NA
Oxalis_linarantha,Fiaschi3710,KX249629,NA,NA,NA,NA,NA,NA,NA
Oxalis_linearis,Dreyer679,EU436972,NA,NA,NA,NA,AJ582329,EU437258,NA
Oxalis_livida,Oberlander0078,EU436889,NA,NA,NA,NA,EU437050,NA,NA
Oxalis_lomana,Gaspar2,1,NA,1,NA,1,NA,NA,NA
Oxalis_longissima,Emshwiller64/247,U74270,NA,NA,NA,NA,NA,NA,NA
Oxalis_loricata,HeiblPfanzelt05-006,JN634741,NA,JN607487,NA,JN587312,JN620137,NA,NA
Oxalis_lotoides,Emshwiller789,NA,AF470241,NA,NA,NA,NA,NA,NA
Oxalis_louisae,Dreyer708,EU436928,NA,NA,NA,NA,AJ582330,EU437215,NA
Oxalis_lucumayensis_subsp_lucumayensis,Emshwiller485,NA,AF470248,NA,NA,NA,NA,NA,NA
Oxalis_lucumayensis_subsp_subiens,Emshwiller289,NA,AF470250,NA,NA,NA,NA,NA,NA
Oxalis_luteola,Oberlander0026,EU436904,NA,NA,NA,NA,AJ582331,EU437192,NA
Oxalis_macrocarpa,Gardner49,JN618556,NA,NA,JN836819,NA,JN639558,NA,JN836888
Oxalis_magellanica,HeiblBotGardenMunich02,JN634742,NA,JN607488,NA,JN587313,JN620138,JN627231,JN620101
Oxalis_magnifica,Gardner68,JN618557,NA,NA,JN836839,NA,JN639578,NA,JN836907
Oxalis_mandioccana,Fiaschi4660,OQ310882,NA,NA,OQ296002,NA,OQ296029,NA,NA
Oxalis_massoniana,Holmes0016,EU437015,NA,NA,NA,NA,EU437120,EU437301,NA
Oxalis_matancillae,HeiblMunozToro04-023,NA,NA,NA,NA,JN587334,NA,NA,NA
Oxalis_medicaginea,Emshwiller809,NA,AF470240,NA,NA,NA,NA,NA,NA
Oxalis_megalorrhiza,Gaspar173,1,NA,1,NA,1,NA,NA,NA
Oxalis_meisneri,Oberlander0088,EU436993,NA,NA,NA,NA,EU437110,EU437279,NA
Oxalis_melanosticta,Dreyer622,EU436901,NA,NA,NA,NA,AJ582332,EU437189,NA
Oxalis_melilotoides,Emshwiller190,U74271,AF470245,NA,NA,NA,NA,NA,NA
Oxalis_micrantha,Heibl03-092,JN634744,NA,JN607490,NA,NA,JN620140,JN627233,NA
Oxalis_microcarpa,Cornejo9341,NA,NA,NA,1,NA,NA,NA,NA
Oxalis_minuta,MO163minuta,EU437028,NA,NA,NA,NA,NA,NA,NA
Oxalis_mollendoensis,Ge18325,OQ412269,NA,NA,NA,NA,NA,NA,NA
Oxalis_mollissima,Emshwiller359/x415,U74272,NA,NA,NA,NA,NA,NA,NA
Oxalis_monochasiata,Fiaschi4585,PQ536101,NA,NA,PQ585592,NA,PQ585609,NA,NA
Oxalis_monophylla,DreyerOberlander0003,EU436927,NA,NA,NA,NA,AJ582335,EU437214,NA
Oxalis_monticola,Vaio20,KX249630,NA,NA,KX249667,NA,KX249655,NA,KX249656
Oxalis_morelosii,Perez4856,JN618558,NA,NA,JN836840,NA,JN639579,NA,JN836908
Oxalis_morenoensis,Heibl01-009,JN634745,NA,JN607491,NA,NA,JN620141,NA,NA
Oxalis_morronei,Zabala204,1,NA,NA,NA,NA,1,NA,NA
Oxalis_multicaulis,Oberlander0080,EU436998,NA,NA,NA,NA,EU437112,EU437284,NA
Oxalis_muscoides,Zuloaga12256,MH220856,NA,MH998369,NA,NA,NA,NA,NA
Oxalis_nahuelhuapiensis,Biganzoli2126,MH220863,NA,MH998372,NA,NA,NA,NA,NA
Oxalis_namaquana,Dreyer713,EU436941,NA,NA,NA,NA,AJ582336,EU437228,NA
Oxalis_natans,Oberlander0160,EU437009,NA,NA,NA,NA,EU437117,EU437295,NA
